This mechanism contains 38 gas reactions and 41 surface reactions
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
   21.000000    0.020752    0.000000    0.015423   0.008866   0.007596   0.002046
   22.000000    0.020717    0.000000    0.015446   0.008866   0.007596   0.002046
   23.000000    0.020688    0.000000    0.015468   0.008866   0.007596   0.002046
   24.000000    0.020662    0.000000    0.015489   0.008866   0.007596   0.002046
   25.000000    0.020639    0.000000    0.015510   0.008866   0.007596   0.002046
   26.000000    0.020618    0.000000    0.015530   0.008866   0.007596   0.002046
   27.000000    0.020597    0.000000    0.015550   0.008866   0.007596   0.002046
   28.000000    0.020578    0.000000    0.015570   0.008866   0.007596   0.002046
   29.000000    0.020558    0.000000    0.015589   0.008866   0.007596   0.002046
   30.000000    0.020539    0.000000    0.015608   0.008866   0.007596   0.002046
   31.000000    0.020521    0.000000    0.015627   0.008866   0.007596   0.002046
   32.000000    0.020503    0.000000    0.015646   0.008866   0.007596   0.002046
   33.000000    0.020485    0.000000    0.015664   0.008866   0.007596   0.002046
   34.000000    0.020467    0.000000    0.015682   0.008866   0.007596   0.002046
   35.000000    0.020449    0.000000    0.015700   0.008866   0.007596   0.002046
   36.000000    0.020432    0.000000    0.015717   0.008866   0.007596   0.002046
   37.000000    0.020415    0.000000    0.015734   0.008866   0.007596   0.002046
   38.000000    0.020398    0.000000    0.015751   0.008866   0.007596   0.002046
   39.000000    0.020382    0.000000    0.015768   0.008866   0.007596   0.002046
   40.000000    0.020366    0.000000    0.015785   0.008866   0.007596   0.002046
   41.000000    0.020350    0.000000    0.015801   0.008866   0.007596   0.002046
   42.000000    0.020334    0.000000    0.015817   0.008866   0.007596   0.002046
   43.000000    0.020318    0.000000    0.015833   0.008866   0.007596   0.002046
   44.000000    0.020303    0.000000    0.015849   0.008866   0.007596   0.002046
   45.000000    0.020287    0.000000    0.015864   0.008866   0.007596   0.002046
   46.000000    0.020272    0.000000    0.015880   0.008866   0.007596   0.002046
   47.000000    0.020257    0.000000    0.015895   0.008866   0.007596   0.002046
   48.000000    0.020243    0.000000    0.015910   0.008866   0.007596   0.002046
   49.000000    0.020228    0.000000    0.015924   0.008866   0.007596   0.002046
   50.000000    0.020214    0.000000    0.015939   0.008866   0.007596   0.002046
   51.000000    0.020199    0.000000    0.015953   0.008866   0.007596   0.002046
   52.000000    0.020185    0.000000    0.015968   0.008866   0.007596   0.002046
   53.000000    0.020172    0.000000    0.015982   0.008866   0.007596   0.002046
   54.000000    0.020158    0.000000    0.015996   0.008866   0.007596   0.002046
   55.000000    0.020144    0.000000    0.016010   0.008866   0.007596   0.002046
   56.000000    0.020131    0.000000    0.016023   0.008866   0.007596   0.002046
   57.000000    0.020117    0.000000    0.016037   0.008866   0.007596   0.002046
   58.000000    0.020104    0.000000    0.016050   0.008866   0.007596   0.002046
   59.000000    0.020091    0.000000    0.016063   0.008866   0.007596   0.002046
   60.000000    0.020078    0.000000    0.016076   0.008866   0.007596   0.002046
