This mechanism contains 38 gas reactions and 41 surface reactions
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
   28.000000    0.016351    0.000945    0.010064   0.003076   0.010137   0.003269
   29.000000    0.016264    0.000945    0.010154   0.003076   0.010137   0.003269
   30.000000    0.016183    0.000945    0.010238   0.003076   0.010137   0.003269
   31.000000    0.016106    0.000945    0.010316   0.003076   0.010137   0.003269
   32.000000    0.016034    0.000945    0.010390   0.003076   0.010137   0.003269
   33.000000    0.015966    0.000945    0.010460   0.003076   0.010137   0.003269
   34.000000    0.015901    0.000945    0.010527   0.003076   0.010137   0.003269
   35.000000    0.015840    0.000944    0.010590   0.003076   0.010137   0.003269
   36.000000    0.015781    0.000944    0.010650   0.003076   0.010138   0.003269
   37.000000    0.015725    0.000944    0.010707   0.003076   0.010138   0.003269
   38.000000    0.015672    0.000944    0.010762   0.003076   0.010138   0.003269
   39.000000    0.015621    0.000944    0.010814   0.003076   0.010138   0.003269
   40.000000    0.015572    0.000944    0.010864   0.003076   0.010138   0.003269
   41.000000    0.015524    0.000944    0.010913   0.003076   0.010138   0.003269
   42.000000    0.015479    0.000944    0.010959   0.003076   0.010138   0.003269
   43.000000    0.015435    0.000944    0.011004   0.003076   0.010138   0.003269
   44.000000    0.015393    0.000944    0.011047   0.003076   0.010138   0.003269
   45.000000    0.015352    0.000944    0.011089   0.003076   0.010138   0.003269
   46.000000    0.015312    0.000944    0.011129   0.003076   0.010138   0.003269
   47.000000    0.015274    0.000944    0.011168   0.003076   0.010138   0.003269
   48.000000    0.015237    0.000944    0.011206   0.003076   0.010138   0.003269
   49.000000    0.015201    0.000944    0.011242   0.003076   0.010138   0.003269
   50.000000    0.015166    0.000944    0.011278   0.003076   0.010138   0.003269
   51.000000    0.015132    0.000944    0.011312   0.003076   0.010138   0.003269
   52.000000    0.015099    0.000944    0.011346   0.003076   0.010139   0.003269
   53.000000    0.015067    0.000944    0.011378   0.003076   0.010139   0.003269
   54.000000    0.015036    0.000944    0.011410   0.003076   0.010139   0.003269
   55.000000    0.015006    0.000944    0.011441   0.003076   0.010139   0.003269
   56.000000    0.014976    0.000944    0.011471   0.003076   0.010139   0.003269
   57.000000    0.014948    0.000944    0.011500   0.003076   0.010139   0.003269
   58.000000    0.014919    0.000944    0.011529   0.003076   0.010139   0.003269
   59.000000    0.014892    0.000944    0.011557   0.003076   0.010139   0.003269
   60.000000    0.014865    0.000944    0.011584   0.003076   0.010139   0.003269
   61.000000    0.014839    0.000944    0.011611   0.003076   0.010139   0.003269
   62.000000    0.014813    0.000944    0.011637   0.003076   0.010139   0.003269
   63.000000    0.014788    0.000944    0.011662   0.003076   0.010139   0.003269
   64.000000    0.014764    0.000944    0.011687   0.003076   0.010139   0.003269
   65.000000    0.014740    0.000944    0.011711   0.003076   0.010139   0.003269
   66.000000    0.014716    0.000944    0.011735   0.003076   0.010139   0.003269
   67.000000    0.014693    0.000944    0.011758   0.003076   0.010139   0.003269
   68.000000    0.014671    0.000944    0.011781   0.003076   0.010139   0.003269
   69.000000    0.014649    0.000944    0.011804   0.003076   0.010139   0.003269
   70.000000    0.014627    0.000944    0.011826   0.003076   0.010139   0.003269
Finished simulation at a C/O ratio of 1.4
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
    0.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    1.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    2.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    3.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    4.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    5.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    6.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    7.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    8.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
    9.000000    0.032886    0.010277    0.000000   0.000000   0.000000   0.000000
   10.000000    0.032885    0.010275    0.000000   0.000000   0.000002   0.000001
   11.000000    0.032758    0.010021    0.000000   0.000001   0.000257   0.000127
   12.000000    0.032368    0.009245    0.000000   0.000008   0.001036   0.000510
   13.000000    0.025626    0.000707    0.002668   0.002552   0.009980   0.003301
   14.000000    0.023321    0.000707    0.005060   0.002552   0.009980   0.003301
   15.000000    0.022517    0.000707    0.005954   0.002552   0.009981   0.003301
